date,value,sensor_id,location_id,location_name,parameter
2025-05-15,247.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-16,132.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-17,171.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-18,203.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-19,217.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-20,223.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-21,68.9,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-22,116.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-23,151.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-24,72.8,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-25,120.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-26,113.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-27,150.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-28,151.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-29,188.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-30,221.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-31,185.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-01-06,128.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-02-06,139.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-03-06,202.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-04-06,135.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-06,154.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-06,232.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-06,209.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-06,241.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-06,256.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-06,246.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-06,195.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-06,190.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-13,166.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-14,154.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-15,88.3,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-16,76.2,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-17,73.9,12234786,17,"R K Puram, Delhi - DPCC",pm10
